[11, 0, 18],[12, 0, 20]
[11, 18, 0],[12, 20, 0]
[18, 0, 11],[20, 0, 12]
[18, 11, 0],[20, 12, 0]
[0, 11, 18],[2, 11, 19]
[1, 10, 17],[2, 11, 19]
[2, 9, 16],[2, 11, 19]
[2, 10, 15],[2, 11, 19]
[0, 18, 11],[2, 19, 11]
[1, 17, 10],[2, 19, 11]
[2, 16, 9],[2, 19, 11]
[2, 15, 10],[2, 19, 11]
[11, 0, 18],[11, 2, 19]
[10, 1, 17],[11, 2, 19]
[9, 2, 16],[11, 2, 19]
[10, 2, 15],[11, 2, 19]
[11, 18, 0],[11, 19, 2]
[10, 17, 1],[11, 19, 2]
[9, 16, 2],[11, 19, 2]
[10, 15, 2],[11, 19, 2]
[18, 0, 11],[19, 2, 11]
[17, 1, 10],[19, 2, 11]
[16, 2, 9],[19, 2, 11]
[15, 2, 10],[19, 2, 11]
[18, 11, 0],[19, 11, 2]
[17, 10, 1],[19, 11, 2]
[16, 9, 2],[19, 11, 2]
[15, 10, 2],[19, 11, 2]
[0, 11, 18],[2, 12, 18]
[1, 10, 17],[2, 12, 18]
[2, 9, 16],[2, 12, 18]
[2, 10, 15],[2, 12, 18]
[0, 18, 11],[2, 18, 12]
[1, 17, 10],[2, 18, 12]
[2, 16, 9],[2, 18, 12]
[2, 15, 10],[2, 18, 12]
[11, 0, 18],[12, 2, 18]
[10, 1, 17],[12, 2, 18]
[9, 2, 16],[12, 2, 18]
[10, 2, 15],[12, 2, 18]
[11, 18, 0],[12, 18, 2]
[10, 17, 1],[12, 18, 2]
[9, 16, 2],[12, 18, 2]
[10, 15, 2],[12, 18, 2]
[18, 0, 11],[18, 2, 12]
[17, 1, 10],[18, 2, 12]
[16, 2, 9],[18, 2, 12]
[15, 2, 10],[18, 2, 12]
[18, 11, 0],[18, 12, 2]
[17, 10, 1],[18, 12, 2]
[16, 9, 2],[18, 12, 2]
[15, 10, 2],[18, 12, 2]
[4, 11, 12],[5, 12, 13]
[4, 12, 11],[5, 12, 13]
[4, 11, 12],[5, 13, 12]
[4, 12, 11],[5, 13, 12]
[11, 4, 12],[12, 5, 13]
[12, 4, 11],[12, 5, 13]
[11, 12, 4],[12, 13, 5]
[12, 11, 4],[12, 13, 5]
[11, 4, 12],[13, 5, 12]
[12, 4, 11],[13, 5, 12]
[11, 12, 4],[13, 12, 5]
[12, 11, 4],[13, 12, 5]
[6, 7, 13],[7, 8, 16]
[7, 6, 13],[7, 8, 16]
[6, 8, 11],[7, 8, 16]
[7, 7, 7],[7, 8, 16]
[6, 13, 7],[7, 16, 8]
[7, 13, 6],[7, 16, 8]
[6, 11, 8],[7, 16, 8]
[7, 7, 7],[7, 16, 8]
[6, 7, 13],[8, 7, 16]
[7, 6, 13],[8, 7, 16]
[8, 6, 11],[8, 7, 16]
[7, 7, 7],[8, 7, 16]
[6, 13, 7],[8, 16, 7]
[7, 13, 6],[8, 16, 7]
[8, 11, 6],[8, 16, 7]
[7, 7, 7],[8, 16, 7]
[13, 6, 7],[16, 7, 8]
[13, 7, 6],[16, 7, 8]
[11, 6, 8],[16, 7, 8]
[7, 7, 7],[16, 7, 8]
[13, 6, 7],[16, 8, 7]
[13, 7, 6],[16, 8, 7]
[11, 8, 6],[16, 8, 7]
[7, 7, 7],[16, 8, 7]
[6, 8, 11],[7, 10, 12]
[7, 7, 7],[7, 10, 12]
[6, 11, 8],[7, 12, 10]
[7, 7, 7],[7, 12, 10]
[8, 6, 11],[10, 7, 12]
[7, 7, 7],[10, 7, 12]
[8, 11, 6],[10, 12, 7]
[7, 7, 7],[10, 12, 7]
[11, 6, 8],[12, 7, 10]
[7, 7, 7],[12, 7, 10]
[11, 8, 6],[12, 10, 7]
[7, 7, 7],[12, 10, 7]
[7, 7, 7],[8, 8, 8]
[0, 12, 20],[0, 14, 23]
[0, 20, 12],[0, 23, 14]
[12, 0, 20],[14, 0, 23]
[12, 20, 0],[14, 23, 0]
[20, 0, 12],[23, 0, 14]
[20, 12, 0],[23, 14, 0]
[0, 12, 20],[1, 13, 21]
[0, 20, 12],[1, 21, 13]
[12, 0, 20],[13, 1, 21]
[12, 20, 0],[13, 21, 1]
[20, 0, 12],[21, 1, 13]
[20, 12, 0],[21, 13, 1]
[0, 12, 20],[3, 12, 21]
[2, 11, 19],[3, 12, 21]
[2, 12, 18],[3, 12, 21]
[0, 20, 12],[3, 21, 12]
[2, 19, 11],[3, 21, 12]
[2, 18, 12],[3, 21, 12]
[12, 0, 20],[12, 3, 21]
[11, 2, 19],[12, 3, 21]
[12, 2, 18],[12, 3, 21]
[12, 20, 0],[12, 21, 3]
[11, 19, 2],[12, 21, 3]
[12, 18, 2],[12, 21, 3]
[20, 0, 12],[21, 3, 12]
[19, 2, 11],[21, 3, 12]
[18, 2, 12],[21, 3, 12]
[20, 12, 0],[21, 12, 3]
[19, 11, 2],[21, 12, 3]
[18, 12, 2],[21, 12, 3]
[0, 12, 20],[3, 13, 20]
[2, 11, 19],[3, 13, 20]
[2, 12, 18],[3, 13, 20]
[0, 20, 12],[3, 20, 13]
[2, 19, 11],[3, 20, 13]
[2, 18, 12],[3, 20, 13]
[12, 0, 20],[13, 3, 20]
[11, 2, 19],[13, 3, 20]
[12, 2, 18],[13, 3, 20]
[12, 20, 0],[13, 20, 3]
[11, 19, 2],[13, 20, 3]
[12, 18, 2],[13, 20, 3]
[20, 0, 12],[20, 3, 13]
[19, 2, 11],[20, 3, 13]
[18, 2, 12],[20, 3, 13]
[20, 12, 0],[20, 13, 3]
[19, 11, 2],[20, 13, 3]
[18, 12, 2],[20, 13, 3]
[2, 11, 19],[4, 15, 19]
[2, 12, 18],[4, 15, 19]
[2, 19, 11],[4, 19, 15]
[2, 18, 12],[4, 19, 15]
[11, 2, 19],[15, 4, 19]
[12, 2, 18],[15, 4, 19]
[11, 19, 2],[15, 19, 4]
[12, 18, 2],[15, 19, 4]
[19, 2, 11],[19, 4, 15]
[18, 2, 12],[19, 4, 15]
[19, 11, 2],[19, 15, 4]
[18, 12, 2],[19, 15, 4]
[2, 11, 19],[7, 14, 19]
[5, 12, 13],[7, 14, 19]
[7, 8, 16],[7, 14, 19]
[7, 10, 12],[7, 14, 19]
[7, 12, 10],[7, 14, 19]
[2, 19, 11],[7, 19, 14]
[5, 13, 12],[7, 19, 14]
[7, 16, 8],[7, 19, 14]
[7, 10, 12],[7, 19, 14]
[7, 12, 10],[7, 19, 14]
[11, 2, 19],[14, 7, 19]
[12, 5, 13],[14, 7, 19]
[8, 7, 16],[14, 7, 19]
[10, 7, 12],[14, 7, 19]
[12, 7, 10],[14, 7, 19]
[11, 19, 2],[14, 19, 7]
[12, 13, 5],[14, 19, 7]
[8, 16, 7],[14, 19, 7]
[10, 12, 7],[14, 19, 7]
[12, 10, 7],[14, 19, 7]
[19, 2, 11],[19, 7, 14]
[13, 5, 12],[19, 7, 14]
[16, 7, 8],[19, 7, 14]
[10, 7, 12],[19, 7, 14]
[12, 7, 10],[19, 7, 14]
[19, 11, 2],[19, 14, 7]
[13, 12, 5],[19, 14, 7]
[16, 8, 7],[19, 14, 7]
[10, 12, 7],[19, 14, 7]
[12, 10, 7],[19, 14, 7]
[7, 8, 16],[8, 9, 17]
[8, 7, 16],[8, 9, 17]
[8, 8, 8],[8, 9, 17]
[7, 16, 8],[8, 17, 9]
[8, 16, 7],[8, 17, 9]
[8, 8, 8],[8, 17, 9]
[7, 8, 16],[9, 8, 17]
[8, 7, 16],[9, 8, 17]
[8, 8, 8],[9, 8, 17]
[7, 16, 8],[9, 17, 8]
[8, 16, 7],[9, 17, 8]
[8, 8, 8],[9, 17, 8]
[16, 7, 8],[17, 8, 9]
[16, 8, 7],[17, 8, 9]
[8, 8, 8],[17, 8, 9]
[16, 7, 8],[17, 9, 8]
[16, 8, 7],[17, 9, 8]
[8, 8, 8],[17, 9, 8]
[8, 8, 8],[9, 9, 9]
[0, 14, 23],[0, 16, 26]
[0, 23, 14],[0, 26, 16]
[14, 0, 23],[16, 0, 26]
[14, 23, 0],[16, 26, 0]
[23, 0, 14],[26, 0, 16]
[23, 14, 0],[26, 16, 0]
[0, 14, 23],[1, 15, 24]
[1, 13, 21],[1, 15, 24]
[0, 23, 14],[1, 24, 15]
[1, 21, 13],[1, 24, 15]
[14, 0, 23],[15, 1, 24]
[13, 1, 21],[15, 1, 24]
[14, 23, 0],[15, 24, 1]
[13, 21, 1],[15, 24, 1]
[23, 0, 14],[24, 1, 15]
[21, 1, 13],[24, 1, 15]
[23, 14, 0],[24, 15, 1]
[21, 13, 1],[24, 15, 1]
[1, 13, 21],[2, 13, 23]
[1, 21, 13],[2, 23, 13]
[13, 1, 21],[13, 2, 23]
[13, 21, 1],[13, 23, 2]
[21, 1, 13],[23, 2, 13]
[21, 13, 1],[23, 13, 2]
[1, 13, 21],[4, 13, 22]
[3, 12, 21],[4, 13, 22]
[3, 13, 20],[4, 13, 22]
[1, 21, 13],[4, 22, 13]
[3, 21, 12],[4, 22, 13]
[3, 20, 13],[4, 22, 13]
[13, 1, 21],[13, 4, 22]
[12, 3, 21],[13, 4, 22]
[13, 3, 20],[13, 4, 22]
